,Str 0-1 (End),Turn 1,Str 1-2,Turn 2,Str 2-3,Turn 3,Str 3-4,Turn 4,Str 4-5,Turn 5,Str 5-6,Turn 6,Str 6-7,Turn 7,Str 7-8,Turn 8,Str 8-9,Turn 9,Str 9-10,Turn 10,Str 10-11,Turn 11,Str 11-12,Turn 12,Str 12-13,Turn 13,Str 0-1 (Start),Totals,[ARB_FRONT],[ARB_REAR],[DAMP_BUMP_HF],[DAMP_BUMP_HR],[DAMP_BUMP_LF],[DAMP_BUMP_LR],[DAMP_BUMP_RF],[DAMP_BUMP_RR],[DAMP_FAST_BUMP_HF],[DAMP_FAST_BUMP_HR],[DAMP_FAST_BUMP_LF],[DAMP_FAST_BUMP_LR],[DAMP_FAST_BUMP_RF],[DAMP_FAST_BUMP_RR],[DAMP_FAST_REBOUND_HF],[DAMP_FAST_REBOUND_HR],[DAMP_FAST_REBOUND_LF],[DAMP_FAST_REBOUND_LR],[DAMP_FAST_REBOUND_RF],[DAMP_FAST_REBOUND_RR],[DAMP_REBOUND_HF],[DAMP_REBOUND_HR],[DAMP_REBOUND_LF],[DAMP_REBOUND_LR],[DAMP_REBOUND_RF],[DAMP_REBOUND_RR],[DIFF_COAST],[DIFF_POWER],[DIFF_PRELOAD],[WING_1],[WING_2]
5,4.932,3.416,3.884,1.788,1.374,3.269,5.513,1.311,1.007,1.16,1.123,3.588,2.073,2.543,1.874,2.559,2.545,3.233,8.409,0.779,1.456,1.702,4.742,2.134,1.559,3.04,3.447,74.459,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
6,4.982,3.42,3.81,1.761,1.465,3.225,5.47,1.308,1.004,1.157,1.145,3.622,2.073,2.533,1.916,2.479,2.52,3.263,8.378,0.779,1.463,1.72,4.643,2.141,1.575,3.043,3.44,74.333,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
7,4.921,3.391,3.928,1.725,1.363,3.363,5.491,1.309,1.004,1.155,1.125,3.626,2.058,2.543,1.889,2.524,2.553,3.243,8.316,0.737,1.526,1.757,4.809,2.124,1.582,3.051,3.443,74.558,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
0,4.949,3.437,3.858,1.755,1.411,3.322,5.521,1.322,1.017,1.172,1.12,3.536,2.061,2.5,1.856,2.529,2.529,3.261,8.524,0.752,1.507,1.664,4.734,2.078,1.559,3.043,3.473,74.492,30.0,2.0,20.0,20.0,20.0,19.0,20.0,19.0,8.0,6.0,14.0,6.0,15.0,6.0,15.0,15.0,12.0,8.0,12.0,8.0,17.0,17.0,19.0,18.0,19.0,18.0,30.0,20.0,14.0,25.0,22.0
1,4.964,3.501,3.814,1.756,1.441,3.352,5.503,1.318,1.015,1.172,1.132,3.635,2.077,2.515,1.916,2.523,2.561,3.217,8.472,0.762,1.559,1.622,4.669,2.171,1.573,3.054,3.474,74.77,30.0,2.0,20.0,20.0,20.0,19.0,20.0,19.0,8.0,6.0,14.0,6.0,15.0,6.0,15.0,15.0,12.0,8.0,12.0,8.0,17.0,17.0,19.0,18.0,19.0,18.0,30.0,20.0,14.0,25.0,22.0
2,4.894,3.475,3.82,1.726,1.385,3.302,5.511,1.317,1.014,1.168,1.117,3.576,2.111,2.612,1.899,2.536,2.554,3.325,8.505,0.817,1.461,1.709,4.614,2.117,1.547,3.033,3.462,74.607,30.0,2.0,20.0,20.0,20.0,19.0,20.0,19.0,8.0,6.0,14.0,6.0,15.0,6.0,15.0,15.0,12.0,8.0,12.0,8.0,17.0,17.0,19.0,18.0,19.0,18.0,30.0,20.0,14.0,25.0,22.0
3,4.95,3.471,3.793,1.687,1.379,3.382,5.442,1.317,1.015,1.17,1.114,3.525,2.058,2.62,1.874,2.577,2.506,3.348,8.456,0.771,1.525,1.732,4.687,2.101,1.547,3.032,3.464,74.546,30.0,2.0,20.0,20.0,20.0,19.0,20.0,19.0,8.0,6.0,14.0,6.0,15.0,6.0,15.0,15.0,12.0,8.0,12.0,8.0,17.0,17.0,19.0,18.0,19.0,18.0,30.0,20.0,14.0,25.0,22.0
4,4.962,3.43,3.775,1.721,1.402,3.342,5.428,1.314,1.012,1.167,1.121,3.517,2.074,2.536,1.919,2.529,2.567,3.266,8.387,0.765,1.571,1.748,4.563,2.163,1.56,3.04,3.46,74.343,30.0,2.0,20.0,20.0,20.0,19.0,20.0,19.0,8.0,6.0,14.0,6.0,15.0,6.0,15.0,15.0,12.0,8.0,12.0,8.0,17.0,17.0,19.0,18.0,19.0,18.0,30.0,20.0,14.0,25.0,22.0
5,4.919,3.434,3.79,1.843,1.448,3.381,5.43,1.315,1.011,1.167,1.129,3.535,2.059,2.544,1.925,2.445,2.581,3.318,8.501,0.761,1.586,1.677,4.663,2.083,1.525,3.016,3.46,74.546,30.0,2.0,20.0,20.0,20.0,19.0,20.0,19.0,8.0,6.0,14.0,6.0,15.0,6.0,15.0,15.0,12.0,8.0,12.0,8.0,17.0,17.0,19.0,18.0,19.0,18.0,30.0,20.0,14.0,25.0,22.0
0,5.076,3.603,3.922,1.792,1.513,3.353,5.441,1.318,1.015,1.17,1.13,3.567,2.07,2.497,1.856,2.621,2.581,3.282,8.496,0.801,1.473,1.72,4.655,2.129,1.554,3.042,3.466,75.14,30.0,2.0,8.0,8.0,12.0,13.0,12.0,13.0,7.0,7.0,13.0,6.0,13.0,6.0,18.0,18.0,14.0,9.0,14.0,9.0,16.0,16.0,13.0,13.0,13.0,13.0,30.0,20.0,14.0,24.0,22.0
